Game,Date/Season,Winning team,Score,Losing team,Venue,City,Attendance,Referee
I[sb 1],"January 15, 1967 (1966 AFL/1966 NFL)","Green Bay Packersn(1, 1-0)",35-10,"Kansas City Chiefsa(1, 0-1)",Los Angeles Memorial Coliseum,"Los Angeles, California[sb 2]","61,946",Norm Schachter
II[sb 1],"January 14, 1968 (1967 AFL/1967 NFL)","Green Bay Packersn(2, 2-0)",33-14,"Oakland Raidersa(1, 0-1)",Miami Orange Bowl,"Miami, Florida[sb 3]","75,546",Jack Vest
III[sb 1],"January 12, 1969 (1968 AFL/1968 NFL)","New York Jetsa(1, 1-0)",16-7,"Baltimore Coltsn(1, 0-1)",Miami Orange Bowl (2),"Miami, Florida (2)[sb 3]","75,389",Tom Bell
IV[sb 1],"January 11, 1970 (1969 AFL/1969 NFL)","Kansas City Chiefsa(2, 1-1)",23-7,"Minnesota Vikingsn(1, 0-1)",Tulane Stadium,"New Orleans, Louisiana","80,562",John McDonough
V,"January 17, 1971 (1970)","Baltimore ColtsA(2, 1-1)",16-13,"Dallas CowboysN(1, 0-1)",Miami Orange Bowl (3),"Miami, Florida (3)[sb 3]","79,204",Norm Schachter
VI,"January 16, 1972 (1971)","Dallas CowboysN(2, 1-1)",24-3,"Miami DolphinsA(1, 0-1)",Tulane Stadium (2),"New Orleans, Louisiana (2)","81,023",Jim Tunney
VII,"January 14, 1973 (1972)","Miami DolphinsA(2, 1-1)",14-7,"Washington RedskinsN(1, 0-1)",Los Angeles Memorial Coliseum (2),"Los Angeles, California (2)[sb 2]","90,182",Tom Bell
VIII,"January 13, 1974 (1973)","Miami DolphinsA(3, 2-1)",24-7,"Minnesota VikingsN(2, 0-2)",Rice Stadium[sb 4],"Houston, Texas","71,882",Ben Dreith
IX,"January 12, 1975 (1974)","Pittsburgh SteelersA(1, 1-0)",16-6,"Minnesota VikingsN(3, 0-3)",Tulane Stadium (3),"New Orleans, Louisiana (3)","80,997",Bernie Ulman
X,"January 18, 1976 (1975)","Pittsburgh SteelersA(2, 2-0)",21-17,"Dallas CowboysN(3, 1-2) [W]",Miami Orange Bowl (4),"Miami, Florida (4)[sb 3]","80,187",Norm Schachter
XI,"January 9, 1977 (1976)","Oakland RaidersA(2, 1-1)",32-14,"Minnesota VikingsN(4, 0-4)",Rose Bowl[sb 5],"Pasadena, California (3)[sb 2]","103,438",Jim Tunney
XII,"January 15, 1978 (1977)","Dallas CowboysN(4, 2-2)",27-10,"Denver BroncosA(1, 0-1)",Louisiana Superdome[sb 6],"New Orleans, Louisiana (4)","76,400",Jim Tunney
XIII,"January 21, 1979 (1978)","Pittsburgh SteelersA(3, 3-0)",35-31,"Dallas CowboysN(5, 2-3)",Miami Orange Bowl (5),"Miami, Florida (5)[sb 3]","79,484",Pat Haggerty
XIV,"January 20, 1980 (1979)","Pittsburgh SteelersA(4, 4-0)",31-19,"Los Angeles RamsN(1, 0-1)",Rose Bowl (2)[sb 5][sb 7],"Pasadena, California (4)[sb 2]","103,985",Fred Silva
XV,"January 25, 1981 (1980)","Oakland RaidersA(3, 2-1) [W]",27-10,"Philadelphia EaglesN(1, 0-1)",Louisiana Superdome (2)[sb 6],"New Orleans, Louisiana (5)","76,135",Ben Dreith
XVI,"January 24, 1982 (1981)","San Francisco 49ersN(1, 1-0)",26-21,"Cincinnati BengalsA(1, 0-1)",Pontiac Silverdome,"Pontiac, Michigan[sb 8]","81,270",Pat Haggerty
XVII,"January 30, 1983 (1982)","Washington RedskinsN(2, 1-1)",27-17,"Miami DolphinsA(4, 2-2)",Rose Bowl (3)[sb 5],"Pasadena, California (5)[sb 2]","103,667",Jerry Markbreit
XVIII,"January 22, 1984 (1983)","Los Angeles RaidersA(4, 3-1)",38-9,"Washington RedskinsN(3, 1-2)",Tampa Stadium,"Tampa, Florida","72,920",Gene Barth
XIX,"January 20, 1985 (1984)","San Francisco 49ersN(2, 2-0)",38-16,"Miami DolphinsA(5, 2-3)",Stanford Stadium[sb 9],"Stanford, California[sb 10]","84,059",Pat Haggerty
XX,"January 26, 1986 (1985)","Chicago BearsN(1, 1-0)",46-10,"New England PatriotsA(1, 0-1) [W]",Louisiana Superdome (3)[sb 6],"New Orleans, Louisiana (6)","73,818",Red Cashion
XXI,"January 25, 1987 (1986)","New York GiantsN(1, 1-0)",39-20,"Denver BroncosA(2, 0-2)",Rose Bowl (4)[sb 5],"Pasadena, California (6)[sb 2]","101,063",Jerry Markbreit
XXII,"January 31, 1988 (1987)","Washington RedskinsN(4, 2-2)",42-10,"Denver BroncosA(3, 0-3)",San Diego-Jack Murphy Stadium[sb 11],"San Diego, California","73,302",Bob McElwee
XXIII,"January 22, 1989 (1988)","San Francisco 49ersN(3, 3-0)",20-16,"Cincinnati BengalsA(2, 0-2)",Joe Robbie Stadium[sb 12],"Miami, Florida (6)[sb 3]","75,129",Jerry Seeman
XXIV,"January 28, 1990 (1989)","San Francisco 49ersN(4, 4-0)",55-10,"Denver BroncosA(4, 0-4)",Louisiana Superdome (4)[sb 6],"New Orleans, Louisiana (7)","72,919",Dick Jorgensen
XXV,"January 27, 1991 (1990)","New York GiantsN(2, 2-0)",20-19,"Buffalo BillsA(1, 0-1)",Tampa Stadium (2),"Tampa, Florida (2)","73,813",Jerry Seeman
XXVI,"January 26, 1992 (1991)","Washington RedskinsN(5, 3-2)",37-24,"Buffalo BillsA(2, 0-2)",Metrodome,"Minneapolis, Minnesota","63,130",Jerry Markbreit
XXVII,"January 31, 1993 (1992)","Dallas CowboysN(6, 3-3)",52-17,"Buffalo BillsA(3, 0-3) [W]",Rose Bowl (5)[sb 5],"Pasadena, California (7)[sb 2]","98,374",Dick Hantak
XXVIII,"January 30, 1994 (1993)","Dallas CowboysN(7, 4-3)",30-13,"Buffalo BillsA(4, 0-4)",Georgia Dome,"Atlanta, Georgia","72,817",Bob McElwee
XXIX,"January 29, 1995 (1994)","San Francisco 49ersN(5, 5-0)",49-26,"San Diego ChargersA(1, 0-1)",Joe Robbie Stadium (2)[sb 12],"Miami, Florida (7)[sb 3]","74,107",Jerry Markbreit
XXX,"January 28, 1996 (1995)","Dallas CowboysN(8, 5-3)",27-17,"Pittsburgh SteelersA(5, 4-1)",Sun Devil Stadium,"Tempe, Arizona[sb 13]","76,347",Red Cashion
XXXI,"January 26, 1997 (1996)","Green Bay PackersN(3, 3-0)",35-21,"New England PatriotsA(2, 0-2)",Louisiana Superdome (5)[sb 6],"New Orleans, Louisiana (8)","72,301",Gerry Austin
XXXII,"January 25, 1998 (1997)","Denver BroncosA(5, 1-4)[W]",31-24,"Green Bay PackersN(4, 3-1)",Qualcomm Stadium (2)[sb 11],"San Diego, California (2)","68,912",Ed Hochuli
XXXIII,"January 31, 1999 (1998)","Denver BroncosA(6, 2-4)",34-19,"Atlanta FalconsN(1, 0-1)",Pro Player Stadium (3)[sb 12],"Miami, Florida (8)[sb 3]","74,803",Bernie Kukar
XXXIV,"January 30, 2000 (1999)","St. Louis RamsN(2, 1-1)",23-16,"Tennessee TitansA(1, 0-1)   [W]",Georgia Dome (2),"Atlanta, Georgia (2)","72,625",Bob McElwee
XXXV,"January 28, 2001 (2000)","Baltimore RavensA(1, 1-0) [W]",34-7,"New York GiantsN(3, 2-1)",Raymond James Stadium,"Tampa, Florida (3)","71,921",Gerry Austin
XXXVI,"February 3, 2002 (2001)","New England PatriotsA(3, 1-2)",20-17,"St. Louis RamsN(3, 1-2)",Louisiana Superdome (6)[sb 6],"New Orleans, Louisiana (9)","72,922",Bernie Kukar
XXXVII,"January 26, 2003 (2002)","Tampa Bay BuccaneersN(1, 1-0)",48-21,"Oakland RaidersA(5, 3-2)",Qualcomm Stadium (3)[sb 11],"San Diego, California (3)","67,603",Bill Carollo
XXXVIII,"February 1, 2004 (2003)","New England PatriotsA(4, 2-2)",32-29,"Carolina PanthersN(1, 0-1)",Reliant Stadium[sb 14],"Houston, Texas (2)","71,525",Ed Hochuli
XXXIX,"February 6, 2005 (2004)","New England PatriotsA(5, 3-2)",24-21,"Philadelphia EaglesN(2, 0-2)",Alltel Stadium,"Jacksonville, Florida","78,125",Terry McAulay
XL,"February 5, 2006 (2005)","Pittsburgh SteelersA(6, 5-1) [W]",21-10,"Seattle SeahawksN(1, 0-1)",Ford Field,"Detroit, Michigan (2)[sb 8]","68,206",Bill Leavy
XLI,"February 4, 2007 (2006)","Indianapolis ColtsA(3, 2-1)",29-17,"Chicago BearsN(2, 1-1)",Dolphin Stadium (4)[sb 12],"Miami Gardens, Florida (9)[sb 3]","74,512",Tony Corrente
XLII,"February 3, 2008 (2007)","New York GiantsN(4, 3-1) [W]",17-14,"New England PatriotsA(6, 3-3)",University of Phoenix Stadium[sb 15],"Glendale, Arizona (2)[sb 13]","71,101",Mike Carey
XLIII,"February 1, 2009 (2008)","Pittsburgh SteelersA(7, 6-1)",27-23,"Arizona CardinalsN(1, 0-1)",Raymond James Stadium (2),"Tampa, Florida (4)","70,774",Terry McAulay
XLIV,"February 7, 2010 (2009)","New Orleans SaintsN(1, 1-0)",31-17,"Indianapolis ColtsA(4, 2-2)",Sun Life Stadium (5)[sb 12],"Miami Gardens, Florida (10)[sb 3]","74,059",Scott Green
XLV,"February 6, 2011 (2010)","Green Bay PackersN(5, 4-1) [W]",31-25,"Pittsburgh SteelersA(8, 6-2)",Cowboys Stadium,"Arlington, Texas","103,219",Walt Anderson
XLVI,"February 5, 2012 (2011)","New York GiantsN(5, 4-1)",21-17,"New England PatriotsA(7, 3-4)",Lucas Oil Stadium,"Indianapolis, Indiana","68,658",John Parry
XLVII,"February 3, 2013 (2012)","Baltimore RavensA(2, 2-0)",34-31,"San Francisco 49ersN(6, 5-1)",Mercedes-Benz Superdome (7)[sb 6],"New Orleans, Louisiana (10)","71,024",Jerome Boger
XLVIII,"February 2, 2014 (2013)","Seattle SeahawksN(2, 1-1)",43-8,"Denver BroncosA(7, 2-5)",MetLife Stadium,"East Rutherford, New Jersey[sb 16]","82,529",Terry McAulay
XLIX,"February 1, 2015 (2014)","New England PatriotsA(8, 4-4)",28-24,"Seattle SeahawksN(3, 1-2)",University of Phoenix Stadium (2)[sb 15],"Glendale, Arizona (3)[sb 13]","70,288",Bill Vinovich
50[sb 17],"February 7, 2016 (2015)","Denver BroncosA(8, 3-5)",24-10,"Carolina PanthersN(2, 0-2)",Levi's Stadium,"Santa Clara, California (2)[sb 10]","71,088",Clete Blakeman
LI,"February 5, 2017 (2016)","New England PatriotsA(9, 5-4)",34-28 (OT),"Atlanta FalconsN(2, 0-2)",NRG Stadium (2)[sb 14],"Houston, Texas (3)","70,807",Carl Cheffers
LII,"February 4, 2018 (2017)","Philadelphia EaglesN(3, 1-2)",41-33,"New England PatriotsA(10, 5-5)",U.S. Bank Stadium,"Minneapolis, Minnesota (2)","67,612",Gene Steratore
LIII,"February 3, 2019 (2018)","New England PatriotsA(11, 6-5)",13-3,"Los Angeles RamsN(4, 1-3)",Mercedes-Benz Stadium,"Atlanta, Georgia (3)","70,081",John Parry
LIV,"February 2, 2020 (2019)","Kansas City ChiefsA(3, 2-1)",31-20,"San Francisco 49ersN(7, 5-2)",Hard Rock Stadium (6)[sb 12],"Miami Gardens, Florida (11)[sb 3]","62,417",Bill Vinovich
LV,"February 7, 2021 (2020)","Tampa Bay BuccaneersN(2, 2-0) [W]",31-9,"Kansas City ChiefsA(4, 2-2)",Raymond James Stadium (3),"Tampa, Florida (5)","24,835",Carl Cheffers
LVI,"February 13, 2022 (2021)","Los Angeles RamsN(5, 2-3)",23-20,"Cincinnati BengalsA(3, 0-3)",SoFi Stadium,"Inglewood, California (8)[sb 2]","70,048",Ron Torbert
LVII,"February 12, 2023 (2022)","Kansas City ChiefsA(5, 3-2)",38-35,"Philadelphia EaglesN(4, 1-3)",State Farm Stadium (3)[sb 15],"Glendale, Arizona (4)[sb 13]","67,827",Carl Cheffers
LVIII,"February 11, 2024 (2023)","Kansas City ChiefsA(6, 4-2)",25-22 (OT),"San Francisco 49ersN(8, 5-3)",Allegiant Stadium,"Paradise, Nevada","61,629",Bill Vinovich
